""	"MiaPaCa.2"	"Capan.2"	"Panc10.05"	"KP.2"	"PaTu8902"	"DAN.G"	"HuP.T3"	"TCC.PAN2"	"HuP.T4"	"PSN1"	"PaTu8988T"	"Panc4.03"	"KCI.MOH1"	"QGP.1"	"Panc3.27"	"HPAF.II"	"Panc2.13"	"BxPC.3"	"KP.4"	"PaTu8988S"	"PL45"	"SW1990"	"Panc.1"	"Panc8.13"	"Panc5.04"	"SUIT.2"	"YAPC"	"SNU.410"	"T3M.4"	"PK.45H"	"HPAC"	"SNU.324"	"SNU.213"
"PaTu8988T"	"0.908258161603596"	"0.865165745296508"	"0.91543571661953"	"0.917720911875593"	"0.929747615117586"	"0.77496780743478"	"0.888414181528355"	"0.816532416883153"	"0.950066749585703"	"0.912394930293802"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Panc4.03"	"0.95538926832486"	"0.946212649122702"	"0.968488528488752"	"0.960625263635547"	"0.952800179593698"	"0.907551514215423"	"0.956896399498143"	"0.944380702137489"	"0.971109349316701"	"0.934083739194947"	"0.899194081921808"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCI.MOH1"	"0.842111722370752"	"0.972977644152695"	"0.910132922656184"	"0.865722347111175"	"0.833727556671391"	"0.981221912178377"	"0.932383704085071"	"0.984533495375777"	"0.870379171011747"	"0.926732729504928"	"0.768116408594095"	"0.920779387795704"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"QGP.1"	"0.862621235994108"	"0.921965455258868"	"0.902303481572757"	"0.84686775170681"	"0.825859463730026"	"0.924504086603991"	"0.916401398169381"	"0.9464660946836"	"0.859417064700497"	"0.899406007327275"	"0.712044491187409"	"0.905863243303763"	"0.96839863239812"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Panc3.27"	"0.844510472188244"	"0.990988966909653"	"0.929938612584154"	"0.903275673185354"	"0.870746472119345"	"0.96885319097354"	"0.946603411499837"	"0.982685547433491"	"0.892719650795597"	"0.956692669242714"	"0.861949478019707"	"0.919774363572613"	"0.969536960228468"	"0.909703335105527"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HPAF.II"	"0.871562603566287"	"0.925484657414877"	"0.901731642044746"	"0.85893816045591"	"0.856932832855066"	"0.952282108282029"	"0.923350789016541"	"0.919760901578777"	"0.908347379172707"	"0.953726815503516"	"0.841951067662657"	"0.917180834273134"	"0.938189053800471"	"0.883717983163817"	"0.929994555147126"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Panc2.13"	"0.911558582776108"	"0.969691324792559"	"0.96872263488144"	"0.951421337896186"	"0.937651663202129"	"0.913887638618503"	"0.966050978495385"	"0.948590314957313"	"0.950941008439459"	"0.969688907561663"	"0.947604898696541"	"0.95425539738801"	"0.909586966414831"	"0.866647405303038"	"0.968098609686962"	"0.908750763402619"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BxPC.3"	"0.8291712002286"	"0.815631580200517"	"0.830868856215585"	"0.873748701149056"	"0.838996568112051"	"0.803402807618551"	"0.818279956804647"	"0.785409592715584"	"0.882020549410842"	"0.865582919124197"	"0.920322152882894"	"0.876867256544381"	"0.754465971710675"	"0.673465545081779"	"0.809398348339944"	"0.877151852501888"	"0.873725491904002"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KP.4"	"0.821533188879534"	"0.980892087951453"	"0.906738969285424"	"0.866482282312178"	"0.829146589832798"	"0.982035521489008"	"0.929551686078276"	"0.9743135485829"	"0.861735796796046"	"0.946232525978145"	"0.804934239876118"	"0.899003408384689"	"0.982936029739756"	"0.931402607421344"	"0.986472096599842"	"0.927342020720475"	"0.931343936201399"	"0.784453694206153"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PaTu8988S"	"0.830417591250865"	"0.863835593254691"	"0.83411253545066"	"0.88065157703488"	"0.830242951993979"	"0.86551079669274"	"0.829390561606689"	"0.847105590847074"	"0.886089211747192"	"0.901305460725696"	"0.888272116944992"	"0.876622065100029"	"0.85135497795169"	"0.773338163067168"	"0.877023447761365"	"0.929122704286315"	"0.879392775674556"	"0.948501455383003"	"0.874064148780074"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PL45"	"0.958854143550468"	"0.961453626878791"	"0.996523621705333"	"0.913455635946217"	"0.942942629391951"	"0.910280290506192"	"0.995804838028181"	"0.936091599594723"	"0.969336057728065"	"0.975467492244308"	"0.90827235938656"	"0.965225903720274"	"0.920355193867733"	"0.912725017094777"	"0.940807779597888"	"0.915637366673529"	"0.97341503335758"	"0.828914429282205"	"0.920047340106244"	"0.835668539586541"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SW1990"	"0.96019110105932"	"0.92746027459537"	"0.95569471610558"	"0.981549131679093"	"0.981019830881475"	"0.871017147046524"	"0.933670154151247"	"0.921709882686383"	"0.978022870330126"	"0.928465780406088"	"0.92731234166372"	"0.98809085115948"	"0.891786002701914"	"0.874722747054009"	"0.910964828374402"	"0.893121476161281"	"0.956919298925191"	"0.872204437269825"	"0.877975926872881"	"0.879286017513689"	"0.952690264117577"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Panc.1"	"0.941707599223268"	"0.956789023550106"	"0.971769134046242"	"0.958712252600824"	"0.946408373649545"	"0.913564551138062"	"0.967519113156655"	"0.956631653281114"	"0.968881257953163"	"0.959063312357291"	"0.918613841942264"	"0.98002695535067"	"0.928186463966435"	"0.909366248377626"	"0.949665007001149"	"0.934421872999136"	"0.978876276527992"	"0.860947671753337"	"0.914000259848457"	"0.878735572186813"	"0.974135502676333"	"0.975892538799392"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
