"Gene"	"Correlation"	"P.value"
"EPHA2"	0.439999585757376	5.13311460278799e-10
"NCOA6"	0.438414168640382	6.01606037719721e-10
"EYA3"	0.437023576440266	6.91004969988741e-10
"BCL9L"	0.436706567459979	7.13115197188633e-10
"SLFN5"	0.436507176800537	7.27370895370833e-10
"B3GALT5"	0.436084836307044	7.58482703005839e-10
"DNMBP"	0.435859811643041	7.75580827623987e-10
"CHD1"	0.435775908779407	7.82050972377962e-10
"KLF6"	0.435665592868006	7.90637435824425e-10
"PGM2L1"	0.435112945339044	8.35043816779104e-10
"TCERG1"	0.434269784015315	9.07474401574696e-10
"KIF13B"	0.434077861077682	9.24790715573034e-10
"SAMD8"	0.433692281932572	9.60550654084096e-10
"GSK3B"	0.433374058469577	9.91067512415229e-10
"E2F3"	0.432771381713631	1.0514514771341e-09
"GK5"	0.432637418821847	1.06534893347799e-09
"ERLIN1"	0.432575103731111	1.07187392780538e-09
"TRAF3IP1"	0.431985164242047	1.13559136531449e-09
"EGLN3"	0.431758240234877	1.16106310285831e-09
"ABCA13"	0.431253779806159	1.219681716731e-09
"ABTB2"	0.430945356585611	1.25691909486046e-09
"CNOT1"	0.430636619012478	1.29529389395746e-09
"RICTOR"	0.43045272608712	1.31868656992955e-09
"TMEM182"	0.430181433246815	1.35394430579106e-09
"HEATR5A"	0.430116792345799	1.36247860974349e-09
"PARD3B"	0.429774226795224	1.40858130757519e-09
"B4GALNT3"	0.429683167455197	1.42108756670216e-09
"STAG1"	0.429580061557345	1.43537787751712e-09
"CREG2"	0.429256376510003	1.48114818365629e-09
"SLC30A7"	0.42868502474158	1.56540389194329e-09
"ATF7"	0.428302353727837	1.62440548201715e-09
"YAP1"	0.427975860978787	1.67643907497552e-09
"KRR1"	0.427914891065097	1.68633277449394e-09
"TMEM154"	0.427690978740063	1.72315376695416e-09
"LRRC8B"	0.427456767465434	1.76249923198369e-09
"PDS5A"	0.42722897273735	1.80159862883764e-09
"SH3RF2"	0.427139542494209	1.81717667541301e-09
"CENPE"	0.427132994083036	1.81832245659451e-09
"NAALADL2"	0.426908719049332	1.85798810911566e-09
"MIPOL1"	0.426738490087143	1.88865182463504e-09
"TC2N"	0.426568226709187	1.91981051817932e-09
"FUT11"	0.426053232591427	2.01710835578446e-09
"FOXL1"	0.425800058704544	2.06667034382428e-09
"AEBP2"	0.425553215238222	2.11612450036799e-09
"CDH3"	0.425014101457551	2.22814013742577e-09
"KIF20A"	0.424036874911683	2.44595226234616e-09
"HNF4G"	0.422680381058846	2.7826602246445e-09
"CXorf23"	0.422560238533238	2.81455115446927e-09
"ICK"	0.421765873617511	3.03446531760372e-09
"ZNF800"	0.421562450184374	3.09339632740184e-09
"SEC31A"	0.421513283533837	3.10780466331964e-09
"PDXDC1"	0.421486794734813	3.11559406644892e-09
"B3GNT3"	0.420726331347698	3.34743183865622e-09
"RNF19A"	0.420244461648581	3.50286340399081e-09
