"Gene"	"Correlation"	"P.value"
"HSD17B4"	0.082950017967871	0.596927431522444
"EDAR"	0.0829390160835534	0.596976261514315
"CROCCP3"	0.0829130332041128	0.597091589050021
"CCL26"	0.082892272893854	0.597183742717383
"AMHR2"	0.0828007966033949	0.597589874185817
"F9"	0.0827951049880934	0.597615147503916
"FZD10"	0.0826522786792856	0.598249513270223
"FAM168B"	0.0826035718904483	0.598465912674146
"CSHL1"	0.0825786957096148	0.598576448255672
"PTGR2"	0.0822980321763965	0.599824174515948
"DDX42"	0.0822419860024808	0.60007347078264
"GRIK1"	0.08224151017719	0.600075587471235
"LOC100129935"	0.0822017148092904	0.600252626984517
"DGKB"	0.0821727063740299	0.600381692497369
"CASC3"	0.0821648792983909	0.600416519111106
"USP22"	0.0821154314434427	0.600636557924004
"TMEM186"	0.0821051573116244	0.600682281352723
"LOC283143"	0.0821002760874868	0.60070400501369
"POM121L9P"	0.0820524002293198	0.600917092409547
"C1orf88"	0.0820217902476975	0.601053349518704
"CCDC106"	0.0819414588913588	0.601410999964678
"FLT4"	0.0817486937609687	0.602269603868562
"FLJ39639"	0.0816568034925422	0.602679083567324
"ZSWIM7"	0.0816259999340499	0.602816376815891
"CYP4V2"	0.0816021592647285	0.602922645368002
"LOC100506882"	0.0814873169444446	0.603434662774782
"ZNF560"	0.0814413710558747	0.603639562394775
"TMEM198"	0.0813018562132481	0.604261925203655
"AKAP11"	0.0812885323038613	0.604321376437802
"TOB1"	0.0811601427373272	0.604894379705794
"NKX2-8"	0.081094931907528	0.605185505760144
"SIRT4"	0.0809889084212979	0.605658964117358
"ARL11"	0.0809865108472376	0.605669672567579
"ARHGAP42"	0.0808809866826795	0.606141063246386
"LOC100506790"	0.0808095889054187	0.606460096357123
"CWF19L2"	0.08068971860353	0.606995886101805
"ZNF540"	0.0806811234801024	0.607034311936907
"CFHR2"	0.0806695488593872	0.607086059730505
"LOC221442"	0.0806381017205737	0.607226663119164
"RPL39L"	0.0806332157122013	0.607248510221037
"TMSB15B"	0.0805920560941402	0.607432563096627
"KIAA0556"	0.0805788366008467	0.607491681601367
"IL1RAPL1"	0.0805614986606624	0.607569221837802
"ABP1"	0.0805042226981122	0.607825406572155
"SEC31B"	0.0803493360192075	0.608518418089272
"DNAJC18"	0.0802874351871353	0.608795476538513
"C1QTNF2"	0.0802331814177011	0.609038352381961
"ECM2"	0.0800801950770217	0.609723444123875
"CLNS1A"	0.0800728954756784	0.609756140881303
"RNF11"	0.0800004004780653	0.61008090499062
"CD200R1"	0.0798610338750819	0.610705449113113
"CG030"	0.0798123582752146	0.610923643595004
"NR5A2"	0.0795776565274791	0.611976190352397
"FBXO41"	0.0795465190155174	0.612115888106586
"CCNY"	0.0795214184764582	0.61222851100317
"RFPL3-AS1"	0.0794760388378208	0.612432146010449
"GBP3"	0.079439745853023	0.612595026631358
"KRTCAP3"	0.0794334846246974	0.612623128492567
"LOC284798"	0.0793384503383777	0.613049731989322
"FOLR1"	0.0793274782972037	0.61309899298918
"ACACA"	0.0788101733346831	0.615423435779517
"C6orf165"	0.0786551561028152	0.616120711238829
"NR1H3"	0.0786298632141644	0.616234511629349
"DLC1"	0.0786210442718557	0.616274192818609
"ST6GALNAC3"	0.0785793137619105	0.616461975584515
"DUSP10"	0.0785764985483148	0.616474644610404
"LOC100505573"	0.0785453406179202	0.616614868890904
"GOLGA8A"	0.0784906576336067	0.616860998733674
"LOC100507579"	0.0784658123694058	0.616972841753155
"LOC100506582"	0.0784304430509647	0.617132074436727
"C18orf62"	0.0784217222938874	0.617171337952201
"ATP2C1"	0.0784037286598513	0.617252354125694
"TTC14"	0.0783767789919029	0.617373703149556
"FANCF"	0.0783449947772773	0.617516834107621
"LOC100130264"	0.0783440425071397	0.617521122594801
"FBN1"	0.0783148749296698	0.617652482980682
"CENPV"	0.0783086430589611	0.617680550634738
"HAAO"	0.0780182760266907	0.618988926936344
"MSL3"	0.0779928276380375	0.619103651343166
"VSIG4"	0.0779048679783642	0.619500252902898
"COX6A2"	0.077795818323925	0.619992095265231
"DIS3"	0.0777817591220319	0.62005551785024
"NAMPT"	0.0777441287008969	0.620225286151491
"ZNF267"	0.0777386944110573	0.620249804366658
